ID,Name,MaxFuel,Speed,BaseFF,WeightFactor,TaxiFuel
1,Airbus A300B4,48000,450,5500,0.018,300
2,Airbus A310-300,48000,450,4800,0.018,300
3,Airbus A318,19000,440,2200,0.015,150
4,Airbus A319,19000,450,2300,0.015,150
5,Airbus A320ceo,19000,450,2500,0.015,200
6,Airbus A320neo,21800,450,2100,0.015,200
7,Airbus A321ceo,19000,450,2800,0.016,200
8,Airbus A321neo,26000,450,2350,0.016,200
9,Airbus A321XLR,32000,450,4700,0.016,200
10,Airbus A330-200,109000,470,7500,0.02,400
11,Airbus A330-300,76800,470,6400,0.02,400
12,Airbus A330-900neo,119000,470,6550,0.02,400
13,Airbus A340-300,112000,470,7400,0.022,450
14,Airbus A340-600,153000,480,8800,0.024,600
15,Airbus A350-900,110000,490,5800,0.022,500
16,Airbus A350-1000,124000,490,6500,0.023,550
17,Airbus A380-800,256000,490,8100,0.028,800
18,Boeing 707-320,72000,460,6500,0.02,350
19,Boeing 717-200,11000,430,2000,0.012,150
20,Boeing 727-200,30000,460,3800,0.018,250
21,Boeing 737-300,16000,430,2400,0.015,200
22,Boeing 737-400,18000,430,2600,0.015,200
23,Boeing 737-800,20900,450,2550,0.015,200
24,Boeing 737 MAX 8,20800,450,2150,0.015,200
25,Boeing 747-200,150000,480,12000,0.028,800
26,Boeing 747-400,216000,490,10500,0.028,800
27,Boeing 747-8I,195000,495,8000,0.026,800
28,Boeing 757-200,32000,460,3500,0.016,250
29,Boeing 767-300ER,73000,460,6000,0.018,350
30,Boeing 777-200ER,135000,485,7700,0.024,550
31,Boeing 777-300ER,145000,490,7900,0.025,600
32,Boeing 787-8,100000,490,5200,0.02,400
33,Boeing 787-9,101000,490,5500,0.021,400
34,Douglas DC-8-62,65000,460,6000,0.02,300
35,Douglas DC-9-30,14000,440,2600,0.015,200
36,Douglas DC-10-30,108000,480,8200,0.022,500
37,McDonnell MD-82,17700,440,3200,0.015,250
38,McDonnell MD-90,17700,440,2800,0.015,250
39,McDonnell MD-11,117000,485,7600,0.024,550
40,Concorde,96000,1150,21000,0.04,1200
